ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1478(_FifoCache)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1567(resetCache)
2,0.000,0.000,0.001,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1608(parseString)
83,0.000,0.000,0.001,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1821(__add__)
4,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1841(__radd__)
12/2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1926(makeOptionalList)
3,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1877(__mul__)
48,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1948(__or__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1972(__xor__)
4,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2020(__invert__)
14,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2026(__call__)
12,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2045(suppress)
78,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2052(leaveWhitespace)
170,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:2061(setWhitespaceChars)
